cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
139085552,-44883353#1,-24804076#9,-47114116#1,-90795036#4,-34078514,517046027#2,182234686#27,-154819659
150868751#0,100226635,-31133930#2,149986797#0,667863952,-871138585#4,-22736450#0,89820753#0,31047303#0
538982927#0,209224915,44884347#0,72843607#4,264448651#2,71470177#0,-71470206#9,89823533,956136645#0
139718197,-44884664#0,44884350,-1057198635#1,157293040,70944770#0,-162173401#3,395264617#0,-70324971#3
667962675#0,304919605#2,209210741#4,-986505223,-265176189,45664134#2,-199922052#0,-196947998,-31297782#1
342481201#6,-24372978#0,-44884349#0,1056408300#0,817790410,71470190#18,-71470206#14,89828166,43051364#0
97685780,24372978#0,154125452#1,462324821#0,35216007#9,-88083349#4,702669087#3,175252040#4,-196629130
139718220,820360609#1,101134275#0,151801157#0,157293003#0,-120588896#5,120525525#1,-395264617#6,878619659#0-AddedOnRampEdge
191324188,805227609,304727809#0,35956071,-667863960,-44886562#2,154971367#4,-89822310#0,98593789#1
4848928#10,257357821#3,1028570792#3,-151560672#0,94094793#4,161392519#3,-22375367,90835548#3,1024128477#0
539237085#4,257357821#4,174022711#1,151695968#0,-265176676,-148642786#0,151175267#3,581742830#2,51843919#1
667962677,-44883381#2,-429870959#4,-47981602#1,95396843#0,71470213#6,220548975#0,89881836#1,156942465#5
-968060910#5,44883381#1,184250108,1056405591,94094793#3,-70794980#7,168664008#2,89046648#0,-31297682#0
151329182#4,680781422,388577152,-44886289,89825913#1,70936546#4,-220548969#1,89825903#16,1024128472#0
22730603#2,-1029277426,1056330397#0,-47113632#3,368086828#9,31280270#0,95396810,577500018#1,-98593775#2
39520581#1,387312970#1,31133881#4,1124642416#2,153190946,1229917614#3,420083581#3,-32358841#6,135838553#1
240595364#3,743545404#0,304727772#0,-47113657,438405583#4,154253462#2,28063954,27916859#14,-150349482#1
39629578#12,46149611#1,-31133895#1,-224195459#3,368086830#0,-58209110#3,1287664259,-89823558,-148642780
-151313103#1,548903448#1,304727990#0,796894968,31047009#2,-749995746#0,-157238663,89822302#2,-41527657#0
-690198420#1,44956025#1,1056330399#0,1110807852,273211073#6,951228305,154971367#3,585469371#0,156938653
1245147127#0,-22823721#1,31238049#0,149986796#1,31047273#0,1056779405,667865208,254327781#8,98593775#1
240595361#1,101134277#1,44884346#2,-189790242#1,95396765#0,-71470213#4,407109951#0,-231439977#1,55886806#0
44049166#1,257357822#4,91096670#3,1058027400#0,97671348#1,566057084,120525563#1,89934460#2,152185706#0
39168852#1,429714228,304727781#0,1066886859#1,95282572#5,185216947#0,120525537#3,577500018#0,-135838553#0
151329184#1,-297648255#1,-368083792#3,749803802#7,178899419#1,23288277#1,-31096752#2,89934445#0,817841031#0
539237085#6,149851229#3,209366292#5,-151561487,95396808#2,168663960#0,397642511#6,34605313#0,-157050773#1
240595359#0,46149190#2,-102126347#4,1057198632#1,257357807#1,1080759180#9,220552217#0,-89828187,1284303462#1
43988828#2,335539645#1,174022635#1,44885796#1,-95274339#1,71470185#0,-174022665,586176997#0,-70509858#1
151329182#2,-131025950#3,31133881#1,462324823#1,335539639#2,669103389,315539209#2,-231439977#0,1024125610#0
-147812381#12,131025950#3,-44884347#2,-511201795#0,-97671375#1,749829569#8,1135574250#3,48390839#1,436048947#10
734897654,131156051#1,44884344#0,41529971#0-AddedOffRampEdge,97671348#2,-70639085#4,667865207#2,587259249#0,148642782#0
-319196859,319196852,24804076#2,147297543#1,46151431#4,190552057#4,1024125616#0,-89934511#4,98320323
839784837,173954134,-648435893#1,4857840#0,178899418#0,-88083349#1,1057054851,-199311779#2,127518236#0
539237084#5,1028244193,174022680#0,47111169#3,273211078#2,-685193060#1,-184315507#2,89934428#1,70509855#0
46869642#0,209210749#1,44884347#4,-164774173#0,157296589#1,-266525191#2,-261326126#1,587119225#1,70509861#0
97685619#0,44883355#0,174022635#4,-1057198635#0,46151431#0,616560955#3,151175266#0,89881824#2,-127518238
172665597#1,-44883354#0,31133931,-47981633#0,95396794#1,1057054858#4,50877021#5,587259249#1,-31297682#6
760933236,24060330,-24804076#8,46876070#0,257357819#3,-161392518#2,436182375#4,236667144,148642797#1
895804511,44838405#2,304919602#1,44886227#2,-97672287#2,120588503#5,152333593,34605308#1,148642782#3
-660988514#1,149136361#0,44884446#1,44886286#2,-95282572#7,139116576,-367842333#1,77100164#0,43051364#6
-139718209,-44883384#0,174022726,190898553#1,97671336#0,-228076698#0,-162173400#3,199311779#4,-31297551#1
27695604#0,-45172605#1,-31133842#0,47113638#0,-95396805#0,286703487#1,-133288284#1,89822277,-150349482#2
942581084,30842114#1,-1056330397#1,1237754027#0,257357819#0,-230293774#1,-162173401#1,89820776#0,-43051364#2
22730603#0,-22823722#1,304727809#6,72843613#1,95282572#6,1028619488,168663984,37672006#12,70610410#0
97685613#3,-22823721#4,304727997#0,-681031183#1,335539639#3,31280557#9,172365194#0,395264626#8,135838438#1
1025991803#0,-562112859#0,368083811#2,164774171,46151425#1,45018631#0,-120525537#2,-231439988#2,-43101595#0
139085561#0,1028258372,743671372#0,148940706#0,368086015#6,-44886562#1,162173387#1,89934460#0,126859159#1
39629578#9,388577163#0,-304727990#2,579776240#0,95282584#2,-749995746#1,22736181#0,-22720676#3,-71281733#0
-1245147127#2,-31237829#1,44884349#1,44886286#3,368086014,1057050907#2,-397642511#9,531417291#2,-30949727
39168795,680781718,1056330391,-47113650,97672288#2,-104353087#3,517046814#5,-595117873#1,156942465#8
151313103#0,355202500,44884352#1,-199783476,-97672287#1,-156919888#4,-220549214#1,89929074#1,103751347#13
879780891#5,670065088#1,648435891#0,1058027399,178899417#4,154083062,-449602006,-683459297,154027639
1165717957#1,257357822#3,174022720#5,-47981647#1,97671481,190552056#2,151175244#0,-89934443#1,464084177#11
1112063970#1,170624721#2,-44884346#3,386246054#0,-97672291#1,-266525183#0,392943690#2,89820774#1,-319185011#1
27695604#3,391633688#1,45018632#0,1056878773#0,95396808#1,91096669#4,-22562407#11,-311890257,127518258
-665702983,391633688#0,44883352#1,-1066890912#1,178899417#1,24294870#5,152333600#1,37672006#8,-98593737#1
27695604#10,-131025971#0,25822382#3,-136400684#12,97672294#1,-208649513#3,209210758#2,34605309#0,-148642782#2
39629578#7,46149185,-31133881#1,71367237,22562788#0,871138585#0,-22736451#2,-91006341#3,464084172#7
-1070720648,548903448#0,209366292#0,-1056405592#0,-46151425#0,744698554#2,-392091746,-533092484,-98593749#2
147812381#1,23704735,174405496#0,59584804#2,95282584#0,-201348372,449585989#0,-683457657#1,-319185011#3
69963036,44956025#0,1056328005,151801157#1,257357807#0,1144401619,517046814#7,89881854#4,-30952224#0
459561641#0,743545404#2,-648435894,44885597#7,97672287#0,44886564#3,-220548976#1,597967648,154027661#1
240595361#4,198900395#0,-102126347#1,47113636#14,-273211103#5,648082983#1,368084608#2,395264619#0,-58686246
1026056857#2,-36688988#1,154125460,-190527310#1,178899417#2,349459713#2,-151175253#0,77100166#2,-31297682#4
147812381#10,45172804#0,-24804076#2,-151560714#2,95396808#0,197665252#1,315539209#0,200681431,30950818#0
97685754#5,-257239012#0,44884351,-47113644#1,46151435#3,103945933#2,-133434897,-796186459,-71281733#2
240595362#0,257239012#0,-1253807732#0,1058036878#1,95396830#0,161392595#2,-184315508#0,89934445#1,98593764#3
4848930#0,131156059#0,-648408839#3,149986654,95396794#2,-71470210#0,-184314056#1,199311779#14,-148642781#0
261065064#0,-44838842#0,-116436260,-189790242#0,46151432#0,30841649#4,151175267#0,-89831417#0,58686258#3
139718225#1,457308034,154125453,-1229651927#1,97671352,-261324433#1,22736449#2,89823539#0,-43099711#0
172665593#1,257239021#3,44884349#0,1056405594#2,97672285#1,156344565,95396809#1,89041314#5,-1273185318#1
-191318898,23488560#1,304727997#2,-1057198632#0,-46151431#2,-88561232#0,199152198#0,-91689528#0,156575077#6
27695604#4,23488561#3,-1056330398#4,724540987#0,-178899417#0,-174022595#0,31336390#3,98883477#7,1024115418
4848928#7,-44883382,174022680#7,136400684#11,46151435#8,154253469#3,136506337#4,254327781#0,-1024102270#1
904911911,-173954130#1,-743671372#1,47114118,-95282572#6,88083336#1,27904494,89825900#0,53542680#1
968060910#0,667867185,44884354#1,-47113636#12,97672292#0,-161392557,172365189#0,-91689528#4,-518647368
196380141#6,-466032171,429870959#4,-151695968#1,97672283#2,1060235883,-120525547#0,-736550490#3,-30948680#2
151329185#2,-1027009174,-44884349#1,398675574#0,-178899417#4,-71488888#1,157293029#0,89934434#1,174653382#1
151329185#0,-149136360#1,46876504#10,1057215452,-97672283#1,58672755#0,95396820#2,-583258515#0,-70324971#1
319196861,-44883354#1,,-47113624#2,97671381#0,-71502569#12,367359810,-581537565,1023908217#2
-139718220,667959152#0,,-136400684#4,-97672286#1,227968024#1,103761129#1,99508337#0,31047303#12
95277526#8,-131025950#2,,-44886287#0,97672293#1,71470190#17,22736449#1,-265221586#1,-43322798#6
282055760#1,-296690015,,224195459#0,178899417#5,-70794980#4,22730774#6,199311801#19,1256858472#1
95277523#0,-131025941#3,,151560757#0,168663972#5,986505887,184293855#0,581742830#0,312195005#5
97685763#0,269150833#0,,-136400683#1,178899421#0,-228090234#0,273211100#1,48390814,759086770#3
97685613#0,131025957#3,,-47113642#4,-178899417#3,116436279#1,174022633#0,332630470,154971175#0
139718215,332634091#6,,44885797#0,178899419#2,-88937127#1,-304727916#0,89820745,31047306#4
45170509,350217575#4,,-1058027400#3,95396769#0,-161392595#0,-367848147#4,591738594#1,243206488#0
726941894#1,242897859,,680260861,-335539639#4,70794980#3,-162173421#2,543019008#3,148642782#1
968060910#4,580847356,,-136400684#16,199152211#3,185216975#0,103761128#0,395264610#8,91689539
-690198419,24372978#5,,1056874653#2,97671395#4,185216966,54786435,534412966,-156942465#0
690198421,46149193#1,,-136400684#14,-97672287#0,746533317,367848146,182236082#2,-158808588
45242995#2,355202490#1,,-190527312#2,-97671473#2,156919887#0,168663958#1,182236082#1,1023912412
-139718219#1,930964332#2,,-44886288#1,-95396805#1,30841649#2,-1024125608#0,92034773#0,156575077#2
736973905#0,1028619481#0,,-190898553#3,95396827#0,154253434#3,152333575#3,395264612#8,-91689534
151329169#1,332634091#1,,749803802#2,97671410#2,-70936552#1,-387345131#1,438137502#0,1056397447
145402277,170624716#1,,60185722#0,97671336#1,23313775,30955568#0,-89828166,-114496998#0
33847142#0,682462417,,-297026350,97672281#0,161392564,220551730#0,89881845#1,-436048957#1
95277526#9,170624721#0,,-47113636#15,95396794#0,-44886563,209210760#1,-1024849140,-436048951#2
185937183#2,332634092#0,,47113636#9,97671381#1,120588459#1,95396760,77100164#8,314088440#6
1123082510,548938581#2,,-136400684#0,179260409#3,702450013,31035595,395264627,70509858#0
97685638#0,285677617#2,,47981601#8,95396769#1,120588691#0,-174022632#3,-91686853#0,126855548
39520581#5,46149025,,164774173#1,-273211103#6,88083349#8,120525515#2,89934509#2,-1258453171#1
-271720662#2,261514199#1,,47113620#0,-95282572#3,-190433604#1,184293865#3,89831417#3,174653382#0
240392370#2,-680781425#3,,-47114116#3,95396853#4,-161392595#3,1057052866#1,-89881836#1,772804660#0
-44492913#0,4853035#3,,-190527312#0,-97671352,-1257221457,392090724#9,89934518#0,304727821#0
271720622#0,-23488560#0,,151560757#1,97671375#1,1060226511,746533316,37672006#14,1023908217#0
879780895#1,209210748,,-148940705#1,178898388,960810636,-220548969#0,796186458,436042880#14
151329182#1,19922760,,44885598#0,-97671473#1,1256063070#1,168663971#1,254327781#7,27727758#4
172598650#4,-23704733#0,,44886285#0,46151435#6,31280270#1,157058384#2,683455644#1,173185144#1
95274326#2,562112859#1,,-1066890912#0,97671336#3,46655387#0,168683414#3,91006341#4,98593799#1
342481201#3,-220547267#2,,-313310947#1,-97672288#3,70364449#3,184314051#2,683457667#0,-43680733
97685619#1,-45172805#2,,-47113651#1,97671336#2,-161392610,397642511#3,89934449#2,-98593789#2
-1026056858#1,682476161,,-47111169#2,-97672283#2,746533321#3,-28063946#0,89934518#2,319196848#2
45242995#7,220547267#3,,-1058029001#0,-178899417#5,-70794984#2,103761129#0,37672006#11,154971188
-97685613#3,-285664431#1,,-190521610#2,179260409#2,-190552056#1,103760983#0,503056678#1,-98593757
27695604#9,-131110319#0,,44886287#1,97672287#2,157296585#0,156919890#4,579331694#1,-43680741#2
440392835#3,-131110355,,-297026345#1,97671471#3,744698554#0,162173421#1,34605311#1,99702562#3
139718224,332634092#1,,-47981601#1,95282572#7,-23288278#0,22562407#4,595262922#0,126859160#1
43988828#1,319196856#1,,-72843608,95282584#3,154253457#0,-969494638#1,89881837#2,-27727791#8
-151313103#0,131110319#0,,-644730737,97672292#1,154800556#1,27904509#2,395264620#3,70324974#1
240595358,257357818#1,,44886227#1,97672281#1,103761128#1,-31050180#0,98883477#3,-30952224#9
894991906,173954139,,-47113630#4,257357819#2,-70936554#5,392940747#2,395264636#0,157058468#2
69963032#2,388577166#2,,1296331245#3,-46151431#6,-23288277#5,228090233#1,92034773#5,148642768
1103811024,-332634094#1,,164774173#3,604041501,-154253462#2,372741502#2,89823567#0,126859160#2
879780895#0,131025959#0,,151801165#1,97672291#1,261324433#3,151175223#2,196306517,43699319#0
47025799#0,23488564#0,,4857841,97672290#0,154253463#0,-184314048#0,260425576#1,314088440#4
151329169#4,46149610#1,,-1057215462#0,-157279305,70936552#4,266525189,585279933#1,30950818#5
240595364#1,-131025931#1,,-47113630#3,-97671410#2,-951228305,319196849#6,23994704#0,157360310
-147812381#2,131156023#1,,796894969#2,-273211103#2,161392615#2,220549212#3,589240680,70509858#3
660972501#1,-22918541#4,,1058036879#8,273211103#5,-616560955#0,449399206#5,89831415#1,70330619#2
40969594#1,23488568#0,,-149986797#1,97672294#0,161392518#7,667865205#6,90835548#1,153792698#0
-1025991805,257357818#0,,749803802#4,46151435#5,1060226507#1,76187048#0,-48390839#1,1024128476#0
-151313102,680781715,,-1056408300#0,-97671375#0,-46655425,-151175266#2,89041314#11,31297738#2
879780891#2,46149187,,-147259688,97685751#0,-161392507#0,151175259#0,-543019008#2,43322645#1
39169198,388577166#6,,1124642414#4,97671395#1,24294870#3,-133288284#6,955942947,1257133852#0
139718227,-350217576#0,,1194311027#0,95396830#1,115591840,397642511#1,89831415#2,436042880#2
319196850#0,350217576#0,,462324820#7,95396848#0,88561232#2,-151175267#3,-34605308#1,312195000#3
139085558,-131025941#1,,231449996,58704022#5,154253469#4,-220548975#0,254326640#2,148642772#1
265068939#1,131025950#4,,47981601#4,335539639#1,-669103389,168683423#1,89820774#0,156575080#1
97685638#2,1126633898,,1056876861,97672288#1,266525226#1,372741506#3,175252040#0,1056781891#1
1165717958,45172805#1,,-1056405591,46151431#2,70794980#5,-168664008#2,-533092485#0,1257133853
856631371#19,1166015104#2,,681031181#1,178899417#0,744266431#2,667865213,-199311779#5,43100782#0
459561639#1,-680781421,,-47113636#0,97672294#2,-71502569#6,151175254#1,-533092495,156575068#3
69962700#0,-100102319#2,,-164774173#5,97671460,-1057054858#4,969494639#1,33549841#1,-30949704#0
95277528#1,100102319#2,,-1066886859#1,-97672292#1,24294873#2,-667865208,265225085#2,-706102508
257233103#2,285664494#0,,47114116#1,97671390#3,1028619490,-397642511#7,-395264610#6,-158177940#2
441654722,44838405#1,,-1057198632#1,46151435#4,-161392616#0,174022652,381697487#1,-30919469#1
69963044#3,-220547267#0,,432603494#0,95396846#1,744698554#1,-667865207#2,37672006#0,-436048949#3
271720666#0,257357802#1,,47981647#0,-95396805#2,-28063955#2,151175272#0,22720676#6,-98593775#1
760752371#3-AddedOffRampEdge,-131025950#1,,-71367225#0,-604041501,751972892#1,30955568#3,89828180,-304727814#2
95274326#0,131025954#2,,-47111169#4,97672285#0,154253449#1,168664005#1,31050856#7,-152185706#0
95274326#1,1028241264,,72843607#3,97672283#1,156919938#2,407109951#1,-395264626#9,-98593737#2
33847144#7,333682045,,72843611#0,97672286#1,1057054858#2,-220549213,156938659#7,158177939
39629578#5,209210739#0,,164774174#0,178899417#3,1229917616,-319196849#2,683458162#3,-1284303462#1
440392835#5,-23488561#0,,-796894969#1,335539639#4,746533321#4,-22736450#1,231524291#1,-30948214#3
929013754#2,238836841,,46876069#4,46151435#10,45018631#7,-151175266#0,835269971,43322798#1
185937183#2-AddedOnRampEdge,24372978#2,,313310947#2,97672290#1,-742072640,436182375#9,395264620#4,-91899427#1
-690198420#0,1123711307,,-47981636#1,95396781#3,161392508,154971367#1,872286905#2,152185720
856631371#17,645224082#1,,-1066886864#1,97671473#2,986505885,228090241,-395264626#1,648488815#4
95274326#3,-680781430#0,,47981602#1,95396805#1,1261366106#0,133434896#2,193618810#2,304727835#0
97685642#0,-1028258366,,44886289,257357805#1,-154083062,157058447,23994706#1,71366316#1
240595361#2,209210756#0,,47113632#3,97671471#1,-190552056#2,174022712#1,91686849#2,706102496#3
-33847142#0,-23488560#1,,47113657,95396853#1,749829569#6,151175261,-91689528#1,960810619#0
69963046,376499341#0,,47113642#1,95396853#3,47120880,-184314056#0,199311779#13,1024120793#0
97685754#1,-238836841,,-47981657#1,273211103#7,-228076698#5,449648375,381697487#6,-127518236#0
98855704,-580847350#1,,-120456303,97671395#7,746533321#1,157292846#5,89939071,-43051364#1
39520581#3,-1029279502#0,,-47113638#0,95396757#0,-31277568,95396820#1,925874568#1,260425589
862139022#1,-261514199#1,,147297543#0,273211103#6,1237936904,31053660#1,-265225082,-31297682#3
196380141#2,267301957#0,,-164774171,95282572#3,-46655387#2,103760989#2,582894155#0,23243743#3
342481201#2,267301957#1,,151561487,-335539639#1,-871138585#1,22736451#4,44776176#14,810145521
139085562#2,-680781715,,-148940706#1,-97672288#1,1256063071#1,-168663984,-705001281,51843919#5
172598640#2,-680781716,,-302028394#1,97672290#3,-44886564#4,-152333598#0,1013426567,154723062#1
46869645#1,149136360#1,,-44886286#3,97671473#1,197530527#0,27727759#2,89881820#1,157050775
837311012#0,131110319#1,,-680260860,-273211078#4,70350401,151175260#2,89825903#12,-148642770
147812381#6,820360604,,-796894969#0,199152211#1,-161392595#2,436182375#6,156938659#8,669098840#2
269150840#0,4848752,,72843619,179260409#1,70364449#0,30998350#1,89828151#0,-314088440#2
319195388#0,44838842#0,,1056876862,199152211#4,702450016,228090248#0,-231439986#0,1284307159#0
265068934#0,-46148744,,47114116#0,178899419#0,24294873#4,-157058387#1,-254327781#2,70509860#0
723855277#1,27242540,,55423023#0,46151432#5,-30841649#6,392092819#0,89046669#7,-56241383
151313103#1,998621641,,-1124642428#2,97685717#1,-986505886#0,22736446#4,533092485#1,31047303#1
690198420#1,-45172807#0,,643059741,95396853#2,746884464#2,-151175266#3,579331698#1,-70610410#0
269150813#4,44884105#2,,47118452#0,97672288#3,71502569#4,1080759180#4,-89881836#3,154027538
97685763#1,131025961#0,,47118453#2,97671440,70794984#0,392943665#3,231211075,148642793#0
150868751#5,24803926#1,,-55423023#1,-95282572#1,71470185#6,31336390#1,254326640#0,-154971175#3
240392412,746064104#1,,1056405596#0,257357819#1,671522408#5,-228076708#0,683458161#0,43100782#5
95277528#0,44955970#3,,47118451#1,-95282572#8,70350393#3,-120528162,23363176#0,-126859159#2
185937183#0,45172804#2,,-1093327667#3,97671395#2,669100015#1,-133434826,-314205672#7,154819598#0
147812381#11,23488562#1,,871576397#1,97671395#6,-58672755#0,133287965#3,438137502#3,51843919#0
95277526#1,131156053#1,,-60647195,97671346,313849721#0,315539210#3,89820771,-30948680#3
319196859,820214409,,-55889051#1,97685717#0,104353087#2,-71488894,597169249,156575077#1
196380141#0,486067307,,-47118452#0,97671390#0,70794984#5,392088983#0,-89939060,319196848#11
151329169#7,46149609,,55889043,46151431#6,148642786#4,95396795#0,-23995046,-157366896#4
922026090#2,388577160,,421328432#0,97671395#3,23217864#0,95396764#0,89041314#13,157058457#1
929013754#0,44883354#1,,55422998#1,95396781#1,1060224075#1,-184250112#1,91730193,-127518258
-1245147127#1,1268288169,,-1056405596#0,157279305,-116436279#1,30954498#1,89825914#5,464084177#7
-39169198,269150824,,-47118453#1,-335539651#0,161392513#4,209210746#3,231439988#1,42305097#0
342481201#0,-131025954#0,,365706979#2,97672286#0,120588896#1,682462419#1,608531036,156942442#0
-139718227,131025969#0,,-1189786111,273211103#2,-70794980#3,-449585989#0,43699315#5,436042880#12
1245147127#2,332634091#2,,-1189786108,-95282572#0,-185216975#0,667865207#3,22720676#9,150349479
45242995#0,930964332#0,,-365706979#1,-46151431#5,23298949,220552212#0,683458162#1,156575066#1
275430765,-46149615#1,,-55422998#0,97671375#0,88083349#7,517046027#0,553054644#0,-70509859#0
319195388#5,23990056#1,,-55881483#3,-95282545#2,208649513#0,-103760979#1,156938659#13,31297782#2
47025799#3,46149605,,1057083594#2,-276139664,-228090234#2,103761129#7,89831417#1,-57889595#0
342481199#0,-23704726#0,,-401190970,97672290#2,-154253434#3,154971367#5,-199311779#1,312195002#3
665702983,-44838841#2,,-55889043,95282545#1,792462092#1,151175222#7,89939069,-114496998#2
1132178318#3,23488561#2,,871576397#0,95396781#2,1060235885,-365818022,925874568#3,1284307158
895804510#1,46149022#1,,-1237946798,178899421#1,-161392564,174022682#1,-92034773#4,312195005#0
879780891#0,987136270,,-59664306#0,-97672293#0,1229917612#0,156919890#2,-231524291#3,31297738#0
151329182#0,987135428,,-1237942415,-97671410#1,-120588459#1,-367848147#1,260425576#11,148642794#0
240595360#1,-1165717964#0,,47118453#3,-95282545#0,-88956622,-22736444#0,-561014433,319185011#0
-883261858,-297648257#0,,189483663,46151431#3,1261366104#1,-162173391#0,-395264612#10,98593794#0
203179926#0,987135431,,680508514,97671348#0,1060226510,31096719#0,395264612#4,152185714
69963031,746064104#0,,1189786109,97671395#5,1057527743#1,168663972#3,145581936#2,154458450#0
172665586,131156093,,55423023#1,97671381#2,-71502569#3,-103761129#1,89934458#1,1024120799#0
1170978440,174022683#1-AddedOffRampEdge,,55784009,-97671473#0,227968024#3,-184315508#1,228056331,436048947#0
-97685613#2,174022683#2,,55422971,95396839,749869682,392940747#1,-231524291#2,1055855909
-97685613#1,131156025#1,,-1056405596#3,95396827#2,-648082983#0,419753739#1,199311801#7,154819743#1
69963039#3,-36688988#2,,1237942416,178899421#2,-208649513#14,168683423#4,-89831417#3,30919189#1
4848928#5,-45172803#0,,-47118453#3,95396757#3,88937129#0,220549209#0,89823564#2,70324971#5
734696705,149136359,,1093327667#0,95396805#2,185216971,-120525537#7,77100164#5,-99702562#1
151329185#1,45174083#0,,60647195,335539639#0,-28063955#1,103760987,32358841#2,51843919#11
1245147126#0,45174083#1,,55889051#1,-157279302,208649513#12,436182375#1,395264608,464084172#9
798844784#0,24821259#0,,-1189786109,199152211#2,951228304,120528204#1,89934432,312194996#1
95277526#4,388577164#0,,156791387,95396848#2,70364448#0,-30955568#2,-254327781#7,1055857400
319196850#4,-220547267#3,,-47118451#3,-97672286#0,-228514822#1,-220551730#0,1024849141,59262037#5
759508060,23350417#1,,47118453#0,22562788#1,70936546#1,-151175260#1,-91006341#4,55943333#1
568498791#2,-45172803#2,,1189786111,95396853#0,744698554#4,184315507#1,743780246#1,198929895#2
539237084#3,1117138479#0-AddedOffRampEdge,,1189786108,178899418#1,58209114#0,168663974#3,156938659#0,156575077#4
240595360#0,1268123631,,871576395,46151432#3,154253462#3,220552213,-503056678#1,878619666#0
282055763#0,27241672,,-680508547#1,-97672291#0,-154253457#0,136506337#5,166180318,199311778#8
22730601#0,680781428#3,,365706979#1,95396848#1,-154800556#1,31046060#1,231439973,-154971175#1
665702982#0,31283064#3,,-59664306#4,-95282545#1,-154253470#3,168663972#2,89828174#0,1011347580#2
151329169#0,577567019,,55422998#0,97672282,23243736#1,228090251#1,89934460#1,70610406#2
261065065,492432411#1,,55881483#0,-46151431#3,23313778,-22736451#0,872286905#0,436042880#8
97685661,22823718#0,,-1189786107,-273211078#3,70936554#2,184293866#2,38790522,436042884
-147812381#9,680781430#1,,-365706990#1,273211078#4,88083360,22562407#8,27916859#18,1024120796#2
27695604#7,131156049#3,,46771107#0,-97672288#0,-70936552#4,969494640,-91006341#2,154819713
27695605#1,335539644#0,,401190970,-95396827#2,887406167,103760989#0,395264607#2,114496980#0
240595361#5,1028619480#2,,-1124642428#1,97671390#2,-161392615#2,-220548975#1,-22720676#5,126859160#0
242897862#1,44883357#0,,1237946798,-335539639#0,-228056325#2,1080759176#9,395264629#0,30919524
97685728#2,-44883381#1,,54928199,95282572#1,156919887#2,-367842332,-92034773#6,155046189
690198419,-23704726#1,,365706986,-273211078#0,161392635#1,-103761129#0,89825903#25,30949704#2
39521349#1,23704726#0,,1189786110#0,95282572#8,-746203451,168664008#3,395264640#5,30949704#1
33847144#1,22823722#0,,-365706979#0,257357805#0,88956628#1,517046027#1,-395264626#5,154082984#4
680788592#0,680781712,,59255423#1,46151435#1,88937127#0,-120525530#0,196947998,148642793#3
139718219#1,36688988#1,,365706990#0,46151432#2,1259700450#0,103760979#7,89929074#2,43100782#3
1070720653#0,36688988#2,,193610552,-22562788#1,161392620#2,392090724#10,237393906#0-AddedOnRampEdge,148642796#5
-139082447,-44883380#2,,1056405596#1,46151435#9,-161392518#6,-31053667,89881815#0,154082986#1
440392834#0,45173867,,421328432#3,46151435#0,-154253469#4,-151175269#0,587119225#0,98593814#1
723856284,45172606#0,,-1093327667#5,95396846#2,154253456#0,-151175242#1,89881837#1,372443876#4
759379782#7,46149022#0,,-1189786110#1,46151432#4,-266525226#2,-195531443#2,-314205672#3,-70509858#0
39629550#4,24372978#3,,-59664306#1,-95282572#5,120588503#4,-22562396#0,260425576#6,30952224#5
271720662#0,297648257#0,,-59255423#2,-335539639#2,190433614,672919572,89213766#10,153792698#1
44492913#0,-297648257#1,,-47118453#6,46151436#0,-58672755#1,-228076693#0,34605309#1,43051364#3
680788592#1,24372990#1,,1237942418,46151431#5,1261366105#2,-220549212#3,-583258514,286703485
342481201#9,-44883380#1,,-365706990#0,-46151431#4,-154253461#1,368085648#0,-265225085#2,-1023908217#0
4848928#8,44883380#1,,1189786106,97672281#2,792462092#4,387345131#0,89823547#1,98593807
69963044#0,131025929#2,,-59338160,95282545#2,227968024#2,-449399206#7,145581936#0,-173185144#1
203572466#0,304919603#0,,47118451#3,-273211078#2,230293774#2,-103760979#6,580443871#2,158177940#5
139085561#1,333682042#2,,55889051#0,335539651#1,34078514,157058385#1,92028365#0,-1258451874#2
4848928#1,-46149194#0,,-1124642425,-46151431#0,-120588896#3,667865216#2,-89934511#3,1023908216#0
-69963032#0,-23704749#1,,680508514-AddedOnRampEdge,273211078#1,-1229917614#2,261326133#1,27916859#19,1056779413#0
548908718,135195086,,680508547#1,276139664,871138585#4,22736448#1,89825910#3,152185736#0
-275430765,39629447#4,,1189786107,95396781#0,88083349#4,157058379#3,-91689533,62332141#1
580847357#4,171300278#1,,365706990#1,97671471#0,-1057054858#2,151175247#1,-22720676#7,-126859160#1
39521243,1265766814#0,,1124642428#1,95396830#2,-1229917616,133230931#2,199311801#3,43051364#5
43988828#3,209215786#2,,401190971,97672293#0,-58209110#2,220551732,89825903#6,30950818#2
139718199,22823716#0,,365706979#0,97671410#1,44886562#2,-449490580#1,236667129#11,1024128478#1
139085562#4,31283064#2,,146191009#0,178899419#5,-70936552#3,-31096752#0,89934514,156938673#1
271720704,332634092#2,,-1124642424#0,22562788#2,154253460#0,1024125607#2,32389616#0,-148642787#2
1245989819,1028244194,,-59255423#0,97671432,-161392508,-31053515#0,89881857#2,23243743#1-AddedOnRampEdge
25824161#0,682462418,,-55889051#0,-335539639#3,70794980#7,133287965#2,543019007#1,-126859160#3
151313102,387312971#1,,1056393620,-46151425#1,-71470184,120525525#0,395264631#0,156575056#4
