cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8
-211690618#0,257239013#0,-44884836,303736644#1,95396823#1,58209119#2,228090248#2,89881854#1,-1021551457
4848899#1,810346011#3,44884665#0,1057215462#0,47418248#8,71470195#3,71470206#10,199311796#7,-1024102263#1
-154083816#0,-171300273#0,-44884835#1,297026357,90636496#2,70794984#1,151175252#2,92034773#7,401190983
-1030669187#1,-746064103,172627267#3,-148940705#2,23443405#0,31035836#2,1028570796#3,89828176#1,-679653112
-154083815,45173873,1028573261#1,-47981647#0,-95396821#0,1057054855#1,-151175274#2,89934487,680497679#0
1030669187#1,584188121-AddedOnRampEdge,44884988#0,386246055#1,156938702#0-AddedOnRampEdge,-261368286#3,313606688#3,395264607#7,208649499#2
4848747,-332634094#0,368083795#1,151560793,667863960,70944770#1,397642511#5,-89820776#3,72002813#2-AddedOnRampEdge
968221178,332634094#0,1028570790#2,46876069#0,156938702#2,1261366105#3,168664002#0,-683457657#3,208649503#1
-413095251#2,209215787#1,-184580019#0,-72843607#3,95396840#1,70794981#0,392090724#1,260425576#14,46655812#2-AddedOnRampEdge
854239336#2,396771661#0,-170624720#1,-224195459#2,-90636869#3,1057050910#3,392943665#2,-254327781#6,-46655813#1
-159625689#0,-562113160,44884666#3,-297026345#2,157293003#1,365706961#1,-400705708#0,-182236078,145988606#2
891285334,-562112859#1,-170624714,-164774174#0,31046903#0,-44886562#0,120525530#1,-198164112,46655819#2
-154824596#1,743545405#0,1108576327,136400684#6,95282587,88083347#4,-174022677#4,89881837#3,1063455941
47905475#11,1166015106#2,46875475#0,-313310947#2,-680762193#1,-156938647,-174022674#4,395264619#9,57741626
-146744473#0,265010588#0,170624681#0,-190898553#4,95396821#1,161392518#0,30955664#0,27916859#1,-56016157
134192154#0,266086974#0,638577587,-44886288#0,368086832#8,671522408#3,131633148,89825903#1,46771119#4
-891285338#1,-44838841#0,1028570790#1,44885597#5,94094796#3,156919937#2,-151175244#1,381697487#4,-1024100297#0
-146744473#3,-44883380#0,638577586,-47113642#2,682712369#0,-156919888#5,151175245#0,92029879#1,680497679#1
47905475#9,1028258366,-170624687,47113636#0,95396776#1,746884464#0,22736448#2,92034761#2,71500770
-134923821#0,44883357#1,23766689#5,164774173#5,273211053#3,-88083349#5,-449585989#2,145581936#3,-1021555395
146744472#0,44838405#3,-368074416,136550178#0,35216007#1,-208649513#10,420083582,1126142886,46655812#1
759287234#1,-577567019,170624726#1,-44886227#0,38790699#2,156919888#7,50877021#6,395264628#0,45701220#3
-1278542561,1165717962,45018838#1,44886286#4,95396844#1,-154253469#2,-199922052#1,-77100175#1,-55886805#1
208646345,257239012#1,-44884834#0,-147297543#0,94094885#0,156919937#1,131633158#1,89881819,72157146#1
253812419#0,257239012#2,170624693,44885597#5-AddedOnRampEdge,314205671#0,71470190#3,228076708#3,438137495#0,145988603
208646342,-45172804#1,170624726#2,1056874644#2,682699860,168663961#3,-71470206#4,193618810#0,1057083594#1
598962880,-45172806#2,44884665#3,47113636#6,254327780#1,749829569#7,151175252#1,89825900#2,-56016125#3
134923801#2,-680781428#2,-166899880#0,149986655#0,95396823#2,70610417#0,133287965#0,89934497#1,43097007
-159625689#1,-680781427#2,170624689,71367225#0,-35216239#3,-262334435#2,392943690#0,-533092485#2,59585493#3
47905475#2,199152209#2,-368083795#0,-47113636#1,-31046405,313849721#1,-157058466#0,89934518#1,1024102264#0
47905475#10,760589787#0,44884985#0,-1229890420,-90795036#0,792462092#2,368084601#2,607060797#2,157366923#1
-968221178,760589787#0-AddedOffRampEdge,-172627210#0,1057215448,368086832#4,71470195#1,184315497#5,395264631#4,46771119#6
759287234#0-AddedOffRampEdge,354858485#0,129219189,47981652,492041982,148642786#3,-31096771,-395264611#3,1021555393
134923802#2,1265766813#0,376769524#1,796894969#1,1051315753#2,70794980#0,95396764#1,395264626#6,46655464#7
